sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100342318;SN: 2100342318
;SB 5000TL-20;SB 5000TL-20
;2100342318;2100342318
;Total yield;Power
;Counter;Analog
dd/MM/yyyy hh:mm tt;kWh;kW
07/11/2010 12:00 AM;929.833;0.000
07/11/2010 12:05 AM;929.833;0.000
07/11/2010 12:10 AM;929.833;0.000
07/11/2010 12:15 AM;929.833;0.000
07/11/2010 12:20 AM;929.833;0.000
07/11/2010 12:25 AM;929.833;0.000
07/11/2010 12:30 AM;929.833;0.000
07/11/2010 12:35 AM;929.833;0.000
07/11/2010 12:40 AM;929.833;0.000
07/11/2010 12:45 AM;929.833;0.000
07/11/2010 12:50 AM;929.833;0.000
07/11/2010 12:55 AM;929.833;0.000
07/11/2010 01:00 AM;929.833;0.000
07/11/2010 01:05 AM;929.833;0.000
07/11/2010 01:10 AM;929.833;0.000
07/11/2010 01:15 AM;929.833;0.000
07/11/2010 01:20 AM;929.833;0.000
07/11/2010 01:25 AM;929.833;0.000
07/11/2010 01:30 AM;929.833;0.000
07/11/2010 01:35 AM;929.833;0.000
07/11/2010 01:40 AM;929.833;0.000
07/11/2010 01:45 AM;929.833;0.000
07/11/2010 01:50 AM;929.833;0.000
07/11/2010 01:55 AM;929.833;0.000
07/11/2010 02:00 AM;929.833;0.000
07/11/2010 02:05 AM;929.833;0.000
07/11/2010 02:10 AM;929.833;0.000
07/11/2010 02:15 AM;929.833;0.000
07/11/2010 02:20 AM;929.833;0.000
07/11/2010 02:25 AM;929.833;0.000
07/11/2010 02:30 AM;929.833;0.000
07/11/2010 02:35 AM;929.833;0.000
07/11/2010 02:40 AM;929.833;0.000
07/11/2010 02:45 AM;929.833;0.000
07/11/2010 02:50 AM;929.833;0.000
07/11/2010 02:55 AM;929.833;0.000
07/11/2010 03:00 AM;929.833;0.000
07/11/2010 03:05 AM;929.833;0.000
07/11/2010 03:10 AM;929.833;0.000
07/11/2010 03:15 AM;929.833;0.000
07/11/2010 03:20 AM;929.833;0.000
07/11/2010 03:25 AM;929.833;0.000
07/11/2010 03:30 AM;929.833;0.000
07/11/2010 03:35 AM;929.833;0.000
07/11/2010 03:40 AM;929.833;0.000
07/11/2010 03:45 AM;929.833;0.000
07/11/2010 03:50 AM;929.833;0.000
07/11/2010 03:55 AM;929.833;0.000
07/11/2010 04:00 AM;929.833;0.000
07/11/2010 04:05 AM;929.833;0.000
07/11/2010 04:10 AM;929.833;0.000
07/11/2010 04:15 AM;929.833;0.000
07/11/2010 04:20 AM;929.833;0.000
07/11/2010 04:25 AM;929.833;0.000
07/11/2010 04:30 AM;929.833;0.000
07/11/2010 04:35 AM;929.833;0.000
07/11/2010 04:40 AM;929.833;0.000
07/11/2010 04:45 AM;929.833;0.000
07/11/2010 04:50 AM;929.833;0.000
07/11/2010 04:55 AM;929.833;0.000
07/11/2010 05:00 AM;929.833;0.000
07/11/2010 05:05 AM;929.833;0.000
07/11/2010 05:10 AM;929.835;0.024
07/11/2010 05:15 AM;929.839;0.048
07/11/2010 05:20 AM;929.845;0.072
07/11/2010 05:25 AM;929.853;0.096
07/11/2010 05:30 AM;929.868;0.180
07/11/2010 05:35 AM;929.888;0.240
07/11/2010 05:40 AM;929.923;0.420
07/11/2010 05:45 AM;929.969;0.552
07/11/2010 05:50 AM;930.019;0.600
07/11/2010 05:55 AM;930.064;0.540
07/11/2010 06:00 AM;930.151;1.044
07/11/2010 06:05 AM;930.280;1.548
07/11/2010 06:10 AM;930.384;1.248
07/11/2010 06:15 AM;930.480;1.152
07/11/2010 06:20 AM;930.610;1.560
07/11/2010 06:25 AM;930.687;0.924
07/11/2010 06:30 AM;930.723;0.432
07/11/2010 06:35 AM;930.751;0.336
07/11/2010 06:40 AM;930.783;0.384
07/11/2010 06:45 AM;930.840;0.684
07/11/2010 06:50 AM;930.899;0.708
07/11/2010 06:55 AM;930.960;0.732
07/11/2010 07:00 AM;931.042;0.984
07/11/2010 07:05 AM;931.154;1.344
07/11/2010 07:10 AM;931.346;2.304
07/11/2010 07:15 AM;931.597;3.012
07/11/2010 07:20 AM;931.866;3.228
07/11/2010 07:25 AM;932.154;3.456
