sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3;;;;

;SN: 2100342318;SN: 2100342318;SN: 2100342319;SN: 2100342319
;SB 5000TL-20;SB 5000TL-20;SB 4000TL-20;SB 4000TL-20
;2100342318;2100342318;2100342319;2100342319
;Total yield;Power;Total yield;Power
;Counter;Analog;Counter;Analog
d/MM/yyyy H:mm;kWh;kW;kWh;kW
7/11/2010 0:00;929.833;0;929.833;0
7/11/2010 0:05;929.833;0;929.833;0
7/11/2010 0:10;929.833;0;929.833;0
7/11/2010 0:15;929.833;0;929.833;0
7/11/2010 0:20;929.833;0;929.833;0
7/11/2010 0:25;929.833;0;929.833;0
7/11/2010 0:30;929.833;0;929.833;0
7/11/2010 0:35;929.833;0;929.833;0
7/11/2010 0:40;929.833;0;929.833;0
7/11/2010 0:45;929.833;0;929.833;0
7/11/2010 0:50;929.833;0;929.833;0
7/11/2010 0:55;929.833;0;929.833;0
7/11/2010 1:00;929.833;0;929.833;0
7/11/2010 1:05;929.833;0;929.833;0
7/11/2010 1:10;929.833;0;929.833;0
7/11/2010 1:15;929.833;0;929.833;0
7/11/2010 1:20;929.833;0;929.833;0
7/11/2010 1:25;929.833;0;929.833;0
7/11/2010 1:30;929.833;0;929.833;0
7/11/2010 1:35;929.833;0;929.833;0
7/11/2010 1:40;929.833;0;929.833;0
7/11/2010 1:45;929.833;0;929.833;0
7/11/2010 1:50;929.833;0;929.833;0
7/11/2010 1:55;929.833;0;929.833;0
7/11/2010 2:00;929.833;0;929.833;0
7/11/2010 2:05;929.833;0;929.833;0
7/11/2010 2:10;929.833;0;929.833;0
7/11/2010 2:15;929.833;0;929.833;0
7/11/2010 2:20;929.833;0;929.833;0
7/11/2010 2:25;929.833;0;929.833;0
7/11/2010 2:30;929.833;0;929.833;0
7/11/2010 2:35;929.833;0;929.833;0
7/11/2010 2:40;929.833;0;929.833;0
7/11/2010 2:45;929.833;0;929.833;0
7/11/2010 2:50;929.833;0;929.833;0
7/11/2010 2:55;929.833;0;929.833;0
7/11/2010 3:00;929.833;0;929.833;0
7/11/2010 3:05;929.833;0;929.833;0
7/11/2010 3:10;929.833;0;929.833;0
7/11/2010 3:15;929.833;0;929.833;0
7/11/2010 3:20;929.833;0;929.833;0
7/11/2010 3:25;929.833;0;929.833;0
7/11/2010 3:30;929.833;0;929.833;0
7/11/2010 3:35;929.833;0;929.833;0
7/11/2010 3:40;929.833;0;929.833;0
7/11/2010 3:45;929.833;0;929.833;0
7/11/2010 3:50;929.833;0;929.833;0
7/11/2010 3:55;929.833;0;929.833;0
7/11/2010 4:00;929.833;0;929.833;0
7/11/2010 4:05;929.833;0;929.833;0
7/11/2010 4:10;929.833;0;929.833;0
7/11/2010 4:15;929.833;0;929.833;0
7/11/2010 4:20;929.833;0;929.833;0
7/11/2010 4:25;929.833;0;929.833;0
7/11/2010 4:30;929.833;0;929.833;0
7/11/2010 4:35;929.833;0;929.833;0
7/11/2010 4:40;929.833;0;929.833;0
7/11/2010 4:45;929.833;0;929.833;0
7/11/2010 4:50;929.833;0;929.833;0
7/11/2010 4:55;929.833;0;929.833;0
7/11/2010 5:00;929.833;0;929.833;0
7/11/2010 5:05;929.833;0;929.833;0
7/11/2010 5:10;929.835;0.024;929.835;0.024
7/11/2010 5:15;929.839;0.048;929.839;0.048
7/11/2010 5:20;929.845;0.072;929.845;0.072
7/11/2010 5:25;929.853;0.096;929.853;0.096
7/11/2010 5:30;929.868;0.18;929.868;0.18
7/11/2010 5:35;929.888;0.24;929.888;0.24
7/11/2010 5:40;929.923;0.42;929.923;0.42
7/11/2010 5:45;929.969;0.552;929.969;0.552
7/11/2010 5:50;930.019;0.6;930.019;0.6
7/11/2010 5:55;930.064;0.54;930.064;0.54
7/11/2010 6:00;930.151;1.044;930.151;1.044
7/11/2010 6:05;930.28;1.548;930.28;1.548
7/11/2010 6:10;930.384;1.248;930.384;1.248
7/11/2010 6:15;930.48;1.152;930.48;1.152
7/11/2010 6:20;930.61;1.56;930.61;1.56
7/11/2010 6:25;930.687;0.924;930.687;0.924
7/11/2010 6:30;930.723;0.432;930.723;0.432
7/11/2010 6:35;930.751;0.336;930.751;0.336
7/11/2010 6:40;930.783;0.384;930.783;0.384
7/11/2010 6:45;930.84;0.684;930.84;0.684
7/11/2010 6:50;930.899;0.708;930.899;0.708
7/11/2010 6:55;930.96;0.732;930.96;0.732
7/11/2010 7:00;931.042;0.984;931.042;0.984
7/11/2010 7:05;931.154;1.344;931.154;1.344
7/11/2010 7:10;931.346;2.304;931.346;2.304
7/11/2010 7:15;931.597;3.012;931.597;3.012
7/11/2010 7:20;931.866;3.228;931.866;3.228
7/11/2010 7:25;932.154;3.456;932.154;3.456
7/11/2010 7:30;932.394;2.88;932.394;2.88
7/11/2010 7:35;932.638;2.928;932.638;2.928
7/11/2010 7:40;932.917;3.348;932.917;3.348
7/11/2010 7:45;933.196;3.348;933.196;3.348
7/11/2010 7:50;933.47;3.288;933.47;3.288
7/11/2010 7:55;933.761;3.492;933.761;3.492
7/11/2010 8:00;934.056;3.54;934.056;3.54
7/11/2010 8:05;934.357;3.612;934.357;3.612
7/11/2010 8:10;934.663;3.672;934.663;3.672
7/11/2010 8:15;934.98;3.804;934.98;3.804
7/11/2010 8:20;935.272;3.504;935.272;3.504
7/11/2010 8:25;935.596;3.888;935.596;3.888
7/11/2010 8:30;935.926;3.96;935.926;3.96
7/11/2010 8:35;936.257;3.972;936.257;3.972
7/11/2010 8:40;936.593;4.032;936.593;4.032
7/11/2010 8:45;936.933;4.08;936.933;4.08
7/11/2010 8:50;937.28;4.164;937.28;4.164
7/11/2010 8:55;937.501;2.652;937.501;2.652
7/11/2010 9:00;937.743;2.904;937.743;2.904
7/11/2010 9:05;938.107;4.368;938.107;4.368
7/11/2010 9:10;938.37;3.156;938.37;3.156
7/11/2010 9:15;938.741;4.452;938.741;4.452
7/11/2010 9:20;939.109;4.416;939.109;4.416
